ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
loss,pilot=0.5000; snr=10,rec only,0.5000,10,0,synthetic,comb,0.52430944,0.26215472,0.36364230,,0.5420,stage3b,reused
loss,pilot=0.5000; snr=10,rec + full physics,0.5000,10,0,synthetic,comb,0.51071258,0.25535629,0.35723918,,0.6305,stage3b,reused
loss,pilot=0.5000; snr=20,rec only,0.5000,20,0,synthetic,comb,0.47985149,0.23992575,0.30790041,,0.4632,stage3b,reused
loss,pilot=0.5000; snr=20,rec + full physics,0.5000,20,0,synthetic,comb,0.48627744,0.24313872,0.30693852,,0.6449,stage3b,reused
loss,pilot=0.5000; snr=30,rec only,0.5000,30,0,synthetic,comb,0.47822630,0.23911315,0.29365765,,0.4439,stage3b,reused
loss,pilot=0.5000; snr=30,rec + full physics,0.5000,30,0,synthetic,comb,0.48788559,0.24394279,0.29205570,,0.6342,stage3b,reused
loss,pilot=0.2500; snr=10,rec only,0.2500,10,0,synthetic,comb,0.75323461,0.37661730,0.46106570,,0.4430,stage3b,reused
loss,pilot=0.2500; snr=10,rec + full physics,0.2500,10,0,synthetic,comb,0.75793594,0.37896797,0.46235230,,0.6338,stage3b,reused
loss,pilot=0.2500; snr=20,rec only,0.2500,20,0,synthetic,comb,0.74170670,0.37085335,0.43626539,,0.4440,stage3b,reused
loss,pilot=0.2500; snr=20,rec + full physics,0.2500,20,0,synthetic,comb,0.73924853,0.36962426,0.43453193,,0.6328,stage3b,reused
loss,pilot=0.2500; snr=30,rec only,0.2500,30,0,synthetic,comb,0.73512588,0.36756294,0.42648946,,0.4430,stage3b,reused
loss,pilot=0.2500; snr=30,rec + full physics,0.2500,30,0,synthetic,comb,0.74609256,0.37304628,0.42884444,,0.6325,stage3b,reused
loss,pilot=0.1250; snr=10,rec only,0.1250,10,0,synthetic,comb,0.87485223,0.43742611,0.51273759,,0.4453,stage3b,reused
loss,pilot=0.1250; snr=10,rec + full physics,0.1250,10,0,synthetic,comb,0.87732197,0.43866099,0.51345293,,0.6309,stage3b,reused
loss,pilot=0.1250; snr=20,rec only,0.1250,20,0,synthetic,comb,0.87038919,0.43519460,0.50059934,,0.4456,stage3b,reused
loss,pilot=0.1250; snr=20,rec + full physics,0.1250,20,0,synthetic,comb,0.86708060,0.43354030,0.49918096,,0.6293,stage3b,reused
loss,pilot=0.1250; snr=30,rec only,0.1250,30,0,synthetic,comb,0.86738470,0.43369235,0.49553554,,0.4430,stage3b,reused
loss,pilot=0.1250; snr=30,rec + full physics,0.1250,30,0,synthetic,comb,0.87008306,0.43504153,0.49594934,,0.6339,stage3b,reused
loss,pilot=0.0625; snr=10,rec only,0.0625,10,0,synthetic,comb,0.94211984,0.47105992,0.54045892,,0.4443,stage3b,reused
loss,pilot=0.0625; snr=10,rec + full physics,0.0625,10,0,synthetic,comb,0.94031933,0.47015966,0.53980747,,0.6286,stage3b,reused
loss,pilot=0.0625; snr=20,rec only,0.0625,20,0,synthetic,comb,0.93478698,0.46739349,0.53271465,,0.4450,stage3b,reused
loss,pilot=0.0625; snr=20,rec + full physics,0.0625,20,0,synthetic,comb,0.93722668,0.46861334,0.53325996,,0.6346,stage3b,reused
loss,pilot=0.0625; snr=30,rec only,0.0625,30,0,synthetic,comb,0.93620361,0.46810181,0.53165255,,0.4450,stage3b,reused
loss,pilot=0.0625; snr=30,rec + full physics,0.0625,30,0,synthetic,comb,0.93524542,0.46762271,0.53060761,,0.6311,stage3b,reused
loss,pilot=0.5000; snr=10,rec only,0.5000,10,0,synthetic,comb,0.50610133,0.25305067,0.35796625,,0.4461,stage3b,reused
loss,pilot=0.5000; snr=10,rec + full physics,0.5000,10,0,synthetic,comb,0.50242348,0.25121174,0.35475367,,0.6332,stage3b,reused
loss,pilot=0.5000; snr=20,rec only,0.5000,20,0,synthetic,comb,0.47106065,0.23553032,0.30500276,,0.4538,stage3b,reused
loss,pilot=0.5000; snr=20,rec + full physics,0.5000,20,0,synthetic,comb,0.46232864,0.23116432,0.29979287,,0.6320,stage3b,reused
loss,pilot=0.5000; snr=30,rec only,0.5000,30,0,synthetic,comb,0.47414044,0.23707022,0.29550235,,0.4471,stage3b,reused
loss,pilot=0.5000; snr=30,rec + full physics,0.5000,30,0,synthetic,comb,0.47119759,0.23559880,0.28656390,,0.6316,stage3b,reused
loss,pilot=0.2500; snr=10,rec only,0.2500,10,0,synthetic,comb,0.75704667,0.37852333,0.46283150,,0.4435,stage3b,reused
loss,pilot=0.2500; snr=10,rec + full physics,0.2500,10,0,synthetic,comb,0.75966284,0.37983142,0.46323656,,0.6333,stage3b,reused
loss,pilot=0.2500; snr=20,rec only,0.2500,20,0,synthetic,comb,0.71907313,0.35953657,0.42885858,,0.4408,stage3b,reused
loss,pilot=0.2500; snr=20,rec + full physics,0.2500,20,0,synthetic,comb,0.74013351,0.37006675,0.43504672,,0.6341,stage3b,reused
loss,pilot=0.2500; snr=30,rec only,0.2500,30,0,synthetic,comb,0.73543195,0.36771598,0.42742714,,0.4457,stage3b,reused
loss,pilot=0.2500; snr=30,rec + full physics,0.2500,30,0,synthetic,comb,0.73743919,0.36871959,0.42600361,,0.6311,stage3b,reused
loss,pilot=0.1250; snr=10,rec only,0.1250,10,0,synthetic,comb,0.87957130,0.43978565,0.51457861,,0.4423,stage3b,reused
loss,pilot=0.1250; snr=10,rec + full physics,0.1250,10,0,synthetic,comb,0.87432037,0.43716019,0.51281720,,0.6335,stage3b,reused
loss,pilot=0.1250; snr=20,rec only,0.1250,20,0,synthetic,comb,0.86917606,0.43458803,0.50051174,,0.4433,stage3b,reused
loss,pilot=0.1250; snr=20,rec + full physics,0.1250,20,0,synthetic,comb,0.86278535,0.43139268,0.49808743,,0.6322,stage3b,reused
loss,pilot=0.1250; snr=30,rec only,0.1250,30,0,synthetic,comb,0.86618882,0.43309441,0.49540215,,0.4416,stage3b,reused
loss,pilot=0.1250; snr=30,rec + full physics,0.1250,30,0,synthetic,comb,0.86850503,0.43425252,0.49559400,,0.6329,stage3b,reused
loss,pilot=0.0625; snr=10,rec only,0.0625,10,0,synthetic,comb,0.94075546,0.47037773,0.54027307,,0.4459,stage3b,reused
loss,pilot=0.0625; snr=10,rec + full physics,0.0625,10,0,synthetic,comb,0.94135027,0.47067513,0.54043587,,0.6325,stage3b,reused
loss,pilot=0.0625; snr=20,rec only,0.0625,20,0,synthetic,comb,0.93720211,0.46860106,0.53380945,,0.4459,stage3b,reused
loss,pilot=0.0625; snr=20,rec + full physics,0.0625,20,0,synthetic,comb,0.93426122,0.46713061,0.53267299,,0.6327,stage3b,reused
loss,pilot=0.0625; snr=30,rec only,0.0625,30,0,synthetic,comb,0.93402056,0.46701028,0.53087778,,0.4466,stage3b,reused
loss,pilot=0.0625; snr=30,rec + full physics,0.0625,30,0,synthetic,comb,0.93613128,0.46806564,0.53115906,,0.6275,stage3b,reused
loss,seed=42; pilot=0.125; snr=10.0,rec only,0.125,10.0,0,random-path synthetic OFDM,comb,0.88441932,0.44220966,0.51640028,,0.2155,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88969302,0.44484651,0.51801488,,0.2165,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + frequency consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88743484,0.44371742,0.51708692,,0.2161,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + delay-domain sparsity,0.125,10.0,0,random-path synthetic OFDM,comb,0.88522983,0.44261491,0.51644537,,0.2130,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + energy preservation,0.125,10.0,0,random-path synthetic OFDM,comb,0.88408285,0.44204143,0.51629183,,0.2145,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot + frequency,0.125,10.0,0,random-path synthetic OFDM,comb,0.89263606,0.44631803,0.51908112,,0.2139,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot + delay,0.125,10.0,0,random-path synthetic OFDM,comb,0.88643110,0.44321555,0.51665813,,0.2138,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + full physics,0.125,10.0,0,random-path synthetic OFDM,comb,0.88985783,0.44492891,0.51792911,,0.2148,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec only,0.125,10.0,0,random-path synthetic OFDM,comb,0.88623482,0.44311741,0.51757315,,0.2150,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88760111,0.44380055,0.51775280,,0.2147,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + frequency consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88716125,0.44358063,0.51777688,,0.2149,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + delay-domain sparsity,0.125,10.0,0,random-path synthetic OFDM,comb,0.89780462,0.44890231,0.52212662,,0.2162,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + energy preservation,0.125,10.0,0,random-path synthetic OFDM,comb,0.88674936,0.44337468,0.51803768,,0.2150,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot + frequency,0.125,10.0,0,random-path synthetic OFDM,comb,0.89135569,0.44567785,0.51944673,,0.2162,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot + delay,0.125,10.0,0,random-path synthetic OFDM,comb,0.88360915,0.44180457,0.51642415,,0.2166,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + full physics,0.125,10.0,0,random-path synthetic OFDM,comb,0.89470208,0.44735104,0.52025211,,0.2170,stage5a_supplemental,new
